seed,duplicate_mode,experiment_id,n_train,n_ham,n_spam,n_smishing
1,drop_exact_duplicates,manual_only,4759,3867,390,502
1,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
1,drop_exact_duplicates,combined,11151,6581,1945,2625
2,drop_exact_duplicates,manual_only,4759,3867,390,502
2,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
2,drop_exact_duplicates,combined,11151,6581,1945,2625
3,drop_exact_duplicates,manual_only,4759,3867,390,502
3,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
3,drop_exact_duplicates,combined,11151,6581,1945,2625
4,drop_exact_duplicates,manual_only,4759,3867,390,502
4,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
4,drop_exact_duplicates,combined,11151,6581,1945,2625
5,drop_exact_duplicates,manual_only,4759,3867,390,502
5,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
5,drop_exact_duplicates,combined,11151,6581,1945,2625
6,drop_exact_duplicates,manual_only,4759,3867,390,502
6,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
6,drop_exact_duplicates,combined,11151,6581,1945,2625
7,drop_exact_duplicates,manual_only,4759,3867,390,502
7,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
7,drop_exact_duplicates,combined,11151,6581,1945,2625
8,drop_exact_duplicates,manual_only,4759,3867,390,502
8,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
8,drop_exact_duplicates,combined,11151,6581,1945,2625
9,drop_exact_duplicates,manual_only,4759,3867,390,502
9,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
9,drop_exact_duplicates,combined,11151,6581,1945,2625
10,drop_exact_duplicates,manual_only,4759,3867,390,502
10,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
10,drop_exact_duplicates,combined,11151,6581,1945,2625
11,drop_exact_duplicates,manual_only,4759,3867,390,502
11,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
11,drop_exact_duplicates,combined,11151,6581,1945,2625
12,drop_exact_duplicates,manual_only,4759,3867,390,502
12,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
12,drop_exact_duplicates,combined,11151,6581,1945,2625
13,drop_exact_duplicates,manual_only,4759,3867,390,502
13,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
13,drop_exact_duplicates,combined,11151,6581,1945,2625
14,drop_exact_duplicates,manual_only,4759,3867,390,502
14,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
14,drop_exact_duplicates,combined,11151,6581,1945,2625
15,drop_exact_duplicates,manual_only,4759,3867,390,502
15,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
15,drop_exact_duplicates,combined,11151,6581,1945,2625
16,drop_exact_duplicates,manual_only,4759,3867,390,502
16,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
16,drop_exact_duplicates,combined,11151,6581,1945,2625
17,drop_exact_duplicates,manual_only,4759,3867,390,502
17,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
17,drop_exact_duplicates,combined,11151,6581,1945,2625
18,drop_exact_duplicates,manual_only,4759,3867,390,502
18,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
18,drop_exact_duplicates,combined,11151,6581,1945,2625
19,drop_exact_duplicates,manual_only,4759,3867,390,502
19,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
19,drop_exact_duplicates,combined,11151,6581,1945,2625
20,drop_exact_duplicates,manual_only,4759,3867,390,502
20,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
20,drop_exact_duplicates,combined,11151,6581,1945,2625
21,drop_exact_duplicates,manual_only,4759,3867,390,502
21,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
21,drop_exact_duplicates,combined,11151,6581,1945,2625
22,drop_exact_duplicates,manual_only,4759,3867,390,502
22,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
22,drop_exact_duplicates,combined,11151,6581,1945,2625
23,drop_exact_duplicates,manual_only,4759,3867,390,502
23,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
23,drop_exact_duplicates,combined,11151,6581,1945,2625
24,drop_exact_duplicates,manual_only,4759,3867,390,502
24,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
24,drop_exact_duplicates,combined,11151,6581,1945,2625
25,drop_exact_duplicates,manual_only,4759,3867,390,502
25,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
25,drop_exact_duplicates,combined,11151,6581,1945,2625
26,drop_exact_duplicates,manual_only,4759,3867,390,502
26,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
26,drop_exact_duplicates,combined,11151,6581,1945,2625
27,drop_exact_duplicates,manual_only,4759,3867,390,502
27,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
27,drop_exact_duplicates,combined,11151,6581,1945,2625
28,drop_exact_duplicates,manual_only,4759,3867,390,502
28,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
28,drop_exact_duplicates,combined,11151,6581,1945,2625
29,drop_exact_duplicates,manual_only,4759,3867,390,502
29,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
29,drop_exact_duplicates,combined,11151,6581,1945,2625
30,drop_exact_duplicates,manual_only,4759,3867,390,502
30,drop_exact_duplicates,synthetic_only,6392,2714,1555,2123
30,drop_exact_duplicates,combined,11151,6581,1945,2625
