seed,duplicate_mode,experiment_id,n_train,n_ham,n_spam,n_smishing
1,overlap_aware,manual_only,4759,3867,390,502
1,overlap_aware,synthetic_only,3057,0,1285,1772
1,overlap_aware,combined,7816,3867,1675,2274
2,overlap_aware,manual_only,4759,3867,390,502
2,overlap_aware,synthetic_only,3057,0,1285,1772
2,overlap_aware,combined,7816,3867,1675,2274
3,overlap_aware,manual_only,4759,3867,390,502
3,overlap_aware,synthetic_only,3057,0,1285,1772
3,overlap_aware,combined,7816,3867,1675,2274
4,overlap_aware,manual_only,4759,3867,390,502
4,overlap_aware,synthetic_only,3057,0,1285,1772
4,overlap_aware,combined,7816,3867,1675,2274
5,overlap_aware,manual_only,4759,3867,390,502
5,overlap_aware,synthetic_only,3057,0,1285,1772
5,overlap_aware,combined,7816,3867,1675,2274
6,overlap_aware,manual_only,4759,3867,390,502
6,overlap_aware,synthetic_only,3057,0,1285,1772
6,overlap_aware,combined,7816,3867,1675,2274
7,overlap_aware,manual_only,4759,3867,390,502
7,overlap_aware,synthetic_only,3057,0,1285,1772
7,overlap_aware,combined,7816,3867,1675,2274
8,overlap_aware,manual_only,4759,3867,390,502
8,overlap_aware,synthetic_only,3057,0,1285,1772
8,overlap_aware,combined,7816,3867,1675,2274
9,overlap_aware,manual_only,4759,3867,390,502
9,overlap_aware,synthetic_only,3057,0,1285,1772
9,overlap_aware,combined,7816,3867,1675,2274
10,overlap_aware,manual_only,4759,3867,390,502
10,overlap_aware,synthetic_only,3057,0,1285,1772
10,overlap_aware,combined,7816,3867,1675,2274
11,overlap_aware,manual_only,4759,3867,390,502
11,overlap_aware,synthetic_only,3057,0,1285,1772
11,overlap_aware,combined,7816,3867,1675,2274
12,overlap_aware,manual_only,4759,3867,390,502
12,overlap_aware,synthetic_only,3057,0,1285,1772
12,overlap_aware,combined,7816,3867,1675,2274
13,overlap_aware,manual_only,4759,3867,390,502
13,overlap_aware,synthetic_only,3057,0,1285,1772
13,overlap_aware,combined,7816,3867,1675,2274
14,overlap_aware,manual_only,4759,3867,390,502
14,overlap_aware,synthetic_only,3057,0,1285,1772
14,overlap_aware,combined,7816,3867,1675,2274
15,overlap_aware,manual_only,4759,3867,390,502
15,overlap_aware,synthetic_only,3057,0,1285,1772
15,overlap_aware,combined,7816,3867,1675,2274
16,overlap_aware,manual_only,4759,3867,390,502
16,overlap_aware,synthetic_only,3057,0,1285,1772
16,overlap_aware,combined,7816,3867,1675,2274
17,overlap_aware,manual_only,4759,3867,390,502
17,overlap_aware,synthetic_only,3057,0,1285,1772
17,overlap_aware,combined,7816,3867,1675,2274
18,overlap_aware,manual_only,4759,3867,390,502
18,overlap_aware,synthetic_only,3057,0,1285,1772
18,overlap_aware,combined,7816,3867,1675,2274
19,overlap_aware,manual_only,4759,3867,390,502
19,overlap_aware,synthetic_only,3057,0,1285,1772
19,overlap_aware,combined,7816,3867,1675,2274
20,overlap_aware,manual_only,4759,3867,390,502
20,overlap_aware,synthetic_only,3057,0,1285,1772
20,overlap_aware,combined,7816,3867,1675,2274
21,overlap_aware,manual_only,4759,3867,390,502
21,overlap_aware,synthetic_only,3057,0,1285,1772
21,overlap_aware,combined,7816,3867,1675,2274
22,overlap_aware,manual_only,4759,3867,390,502
22,overlap_aware,synthetic_only,3057,0,1285,1772
22,overlap_aware,combined,7816,3867,1675,2274
23,overlap_aware,manual_only,4759,3867,390,502
23,overlap_aware,synthetic_only,3057,0,1285,1772
23,overlap_aware,combined,7816,3867,1675,2274
24,overlap_aware,manual_only,4759,3867,390,502
24,overlap_aware,synthetic_only,3057,0,1285,1772
24,overlap_aware,combined,7816,3867,1675,2274
25,overlap_aware,manual_only,4759,3867,390,502
25,overlap_aware,synthetic_only,3057,0,1285,1772
25,overlap_aware,combined,7816,3867,1675,2274
26,overlap_aware,manual_only,4759,3867,390,502
26,overlap_aware,synthetic_only,3057,0,1285,1772
26,overlap_aware,combined,7816,3867,1675,2274
27,overlap_aware,manual_only,4759,3867,390,502
27,overlap_aware,synthetic_only,3057,0,1285,1772
27,overlap_aware,combined,7816,3867,1675,2274
28,overlap_aware,manual_only,4759,3867,390,502
28,overlap_aware,synthetic_only,3057,0,1285,1772
28,overlap_aware,combined,7816,3867,1675,2274
29,overlap_aware,manual_only,4759,3867,390,502
29,overlap_aware,synthetic_only,3057,0,1285,1772
29,overlap_aware,combined,7816,3867,1675,2274
30,overlap_aware,manual_only,4759,3867,390,502
30,overlap_aware,synthetic_only,3057,0,1285,1772
30,overlap_aware,combined,7816,3867,1675,2274
